label,text
greet,"hi"
greet,"hello"
greet,"hey"
greet,"good morning"
greet,"good evening"
greet,"yo"
greet,"hi there"
greet,"hello there"
greet,"hey bot"
greet,"hey assistant"
greet,"morning"
greet,"evening"
greet,"hiya"
greet,"howdy"
greet,"hey team"
greet,"greetings"
greet,"sup"
greet,"hey there"
greet,"hello friend"
greet,"hello again"
greet,"good day"
greet,"hi again"
greet,"hey hey"
greet,"hi bot"
greet,"hello chatbot"
greet,"hey warehouse"
greet,"hello warehouse"
greet,"hi assistant"
greet,"hi rasa"
greet,"hello rasa"
goodbye,"bye"
goodbye,"goodbye"
goodbye,"see you"
goodbye,"catch you later"
goodbye,"talk later"
goodbye,"bye for now"
goodbye,"thanks bye"
goodbye,"see ya"
goodbye,"see you soon"
goodbye,"bye bye"
goodbye,"have a nice day"
goodbye,"take care"
goodbye,"later"
goodbye,"good night"
goodbye,"ciao"
goodbye,"farewell"
goodbye,"bye then"
goodbye,"goodbye now"
goodbye,"ok bye"
goodbye,"that is all, bye"
goodbye,"done, bye"
goodbye,"alright bye"
goodbye,"ok thanks bye"
goodbye,"see you next time"
goodbye,"peace out"
goodbye,"bye warehouse"
goodbye,"goodbye assistant"
goodbye,"bye bot"
goodbye,"gtg bye"
goodbye,"talk to you later"
track_order,"where is order 1001"
track_order,"track order 1002"
track_order,"track my order 1003"
track_order,"what is the status of order 1004"
track_order,"order 1005 status"
track_order,"check order 1006"
track_order,"track 1007"
track_order,"status for 1008"
track_order,"track my shipment 1009"
track_order,"can you track 1010"
track_order,"where is my package 1011"
track_order,"order 1012 location"
track_order,"status order 1013"
track_order,"find order 1014"
track_order,"follow order 1015"
track_order,"is 1016 delivered"
track_order,"is 1017 shipped"
track_order,"has 1018 arrived"
track_order,"delivery date for 1019"
track_order,"tell me about order 1020"
track_order,"track order id 1021"
track_order,"look up order 1022"
track_order,"what about order 1023"
track_order,"need tracking for 1024"
track_order,"order number 1025 status"
track_order,"please track 1026"
track_order,"update on 1027"
track_order,"check shipment 1028"
track_order,"any news on 1029"
track_order,"order 1030 status"
reschedule_order,"reschedule order 1001 to 2025-08-25"
reschedule_order,"change delivery date for 1002 to 2025-08-26"
reschedule_order,"move order 1003 to 2025-08-27"
reschedule_order,"delay order 1004 until 2025-08-28"
reschedule_order,"push order 1005 to 2025-08-29"
reschedule_order,"can I reschedule 1006 to 2025-09-01"
reschedule_order,"set order 1007 date 2025-09-02"
reschedule_order,"new date for 1008 is 2025-09-03"
reschedule_order,"switch delivery for 1009 to 2025-09-04"
reschedule_order,"update 1010 to 2025-09-05"
reschedule_order,"change 1011 date to 2025-09-06"
reschedule_order,"please move 1012 to 2025-09-07"
reschedule_order,"reschedule 1013 for 2025-09-08"
reschedule_order,"rebook 1014 to 2025-09-09"
reschedule_order,"postpone 1015 until 2025-09-10"
reschedule_order,"shift order 1016 to 2025-09-11"
reschedule_order,"set new delivery for 1017 2025-09-12"
reschedule_order,"push back 1018 to 2025-09-13"
reschedule_order,"move 1019 to 2025-09-14"
reschedule_order,"can you change 1020 to 2025-09-15"
reschedule_order,"change 1021 delivery to 2025-09-16"
reschedule_order,"I need to reschedule 1022 to 2025-09-17"
reschedule_order,"reschedule 1023 to 2025-09-18"
reschedule_order,"please reschedule 1024 for 2025-09-19"
reschedule_order,"rearrange 1025 to 2025-09-20"
reschedule_order,"delay 1026 to 2025-09-21"
reschedule_order,"change drop 1027 to 2025-09-22"
reschedule_order,"set date for 1028 2025-09-23"
reschedule_order,"set new date 1029 2025-09-24"
reschedule_order,"reschedule 1030 2025-09-25"
check_stock,"do you have item A in stock"
check_stock,"is product A available"
check_stock,"check stock for product B"
check_stock,"stock level of widget C"
check_stock,"is gadget D available today"
check_stock,"any units of item E"
check_stock,"availability of product F"
check_stock,"is item G in inventory"
check_stock,"check inventory for item H"
check_stock,"is product I on hand"
check_stock,"how many of item J"
check_stock,"stock for item K"
check_stock,"is item L available"
check_stock,"do you carry product M"
check_stock,"do we have widget N"
check_stock,"inventory status for item O"
check_stock,"can I get product P"
check_stock,"is Q available"
check_stock,"tell me stock for R"
check_stock,"stock of S"
check_stock,"any stock for T"
check_stock,"item U availability"
check_stock,"product V in stock"
check_stock,"is W on shelf"
check_stock,"check item X"
check_stock,"how about Y"
check_stock,"do we stock Z"
check_stock,"is widget AA available"
check_stock,"inventory of BB"
check_stock,"is product CC available"

